Month,Median Rent
November 2019,2310.00
December 2019,2281.00
January 2020,2297.00
February 2020,2245.00
March 2020,2250.00
April 2020,2213.00
May 2020,2160.00
June 2020,2100.00
July 2020,2100.00
August 2020,2081.00
September 2020,2037.00
October 2020,1989.00
November 2020,1900.00
December 2020,1825.00
January 2021,1776.00
February 2021,1753.00
March 2021,1750.00
April 2021,1774.00
May 2021,1771.00
June 2021,1713.00
July 2021,1743.00
August 2021,1786.00
September 2021,1800.00
October 2021,1809.00
November 2021,1850.00
